 time            com             in              mid             out             time            vcom#branch     vin#branch     
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.00000000e-11  0.00000000e+00  1.00000000e-01  0.00000000e+00  0.00000000e+00  3.00000000e-11  0.00000000e+00  0.00000000e+00 
 6.00000000e-11  0.00000000e+00  2.00000000e-01  0.00000000e+00  0.00000000e+00  6.00000000e-11  0.00000000e+00  0.00000000e+00 
 1.20000000e-10  0.00000000e+00  4.00000000e-01  0.00000000e+00  0.00000000e+00  1.20000000e-10  0.00000000e+00  0.00000000e+00 
 2.40000000e-10  0.00000000e+00  8.00000000e-01  0.00000000e+00  0.00000000e+00  2.40000000e-10  0.00000000e+00  0.00000000e+00 
 4.80000000e-10  0.00000000e+00  1.60000000e+00  0.00000000e+00  0.00000000e+00  4.80000000e-10  0.00000000e+00  0.00000000e+00 
 9.60000000e-10  0.00000000e+00  3.20000000e+00  0.00000000e+00  0.00000000e+00  9.60000000e-10  0.00000000e+00  0.00000000e+00 
 1.92000000e-09  0.00000000e+00  6.40000000e+00  0.00000000e+00  0.00000000e+00  1.92000000e-09  0.00000000e+00  0.00000000e+00 
 3.00000000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.00000000e-09  0.00000000e+00  0.00000000e+00 
 3.19200000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.19200000e-09  0.00000000e+00  0.00000000e+00 
 3.57600000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.57600000e-09  0.00000000e+00  0.00000000e+00 
 4.34400000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  4.34400000e-09  0.00000000e+00  0.00000000e+00 
 5.88000000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  5.88000000e-09  0.00000000e+00  0.00000000e+00 
 8.95200000e-09  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  8.95200000e-09  0.00000000e+00  0.00000000e+00 
 1.50960000e-08  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.50960000e-08  0.00000000e+00  0.00000000e+00 
 2.73840000e-08  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.73840000e-08  0.00000000e+00  0.00000000e+00 
 5.19600000e-08  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  5.19600000e-08  0.00000000e+00  0.00000000e+00 
 1.01112000e-07  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.01112000e-07  0.00000000e+00  0.00000000e+00 
 1.99416000e-07  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.99416000e-07  0.00000000e+00  0.00000000e+00 
 3.96024000e-07  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.96024000e-07  0.00000000e+00  0.00000000e+00 
 7.89240000e-07  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  7.89240000e-07  0.00000000e+00  0.00000000e+00 
 1.57567200e-06  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.57567200e-06  0.00000000e+00  0.00000000e+00 
 3.14853600e-06  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.14853600e-06  0.00000000e+00  0.00000000e+00 
 6.29426400e-06  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  6.29426400e-06  0.00000000e+00  0.00000000e+00 
 1.25857200e-05  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.25857200e-05  0.00000000e+00  0.00000000e+00 
 2.51686320e-05  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.51686320e-05  0.00000000e+00  0.00000000e+00 
